#total reads: 2318
#use mean_cov to adjust the contig abundance, not median_cov 
#seqid	mean_cov	median_cov	total_pos	covered_pos	covered_ratio
metagenome_recA_contig_3016_contig_3017	3.877	4.000	853	853	1.000
metagenome_recA_contig_1134_contig_1135	1.825	1.000	787	787	1.000
metagenome_recA_contig_14746_contig_14747	1.412	1.000	415	415	1.000
metagenome_recA_contig_5012_contig_5013	1.566	1.000	412	412	1.000
metagenome_recA_contig_2030_contig_2031	3.801	4.000	820	820	1.000
metagenome_recA_contig_358_contig_359	6.640	6.000	928	928	1.000
metagenome_recA_contig_876_contig_877	3.181	2.500	922	922	1.000
metagenome_recA_contig_22254_contig_22255	2.863	3.000	409	409	1.000
metagenome_recA_contig_202_contig_203	3.444	4.000	601	601	1.000
metagenome_recA_contig_1758_contig_1759	3.279	3.000	913	913	1.000
metagenome_recA_contig_14992_contig_14993	2.077	2.000	496	496	1.000
metagenome_recA_contig_8790_contig_8791	1.498	1.000	436	436	1.000
metagenome_recA_contig_14010_contig_14011	18.041	16.667	937	937	1.000
metagenome_recA_contig_2544_contig_2545	1.930	2.000	454	454	1.000
metagenome_recA_contig_730_contig_731	2.865	3.000	778	778	1.000
metagenome_recA_contig_3070_contig_3071	1.305	1.000	463	463	1.000
metagenome_recA_contig_418_contig_419	2.950	3.000	901	901	1.000
metagenome_recA_contig_4882_contig_4883	0.601	0.667	634	634	1.000
metagenome_recA_contig_188_contig_189	2.871	3.000	769	769	1.000
metagenome_recA_contig_1774_contig_1775	3.124	2.000	418	418	1.000
metagenome_recA_contig_15852_contig_15853	1.705	1.000	427	427	1.000
metagenome_recA_contig_2294_contig_2295	4.463	4.000	928	928	1.000
metagenome_recA_contig_538_contig_539	5.116	5.500	934	934	1.000
metagenome_recA_contig_13446_contig_13447	1.081	1.000	433	433	1.000
metagenome_recA_contig_21716_contig_21717	3.721	4.000	409	409	1.000
metagenome_recA_contig_3092_contig_3093	2.151	2.000	832	832	1.000
metagenome_recA_contig_4662_contig_4663	1.591	1.500	571	571	1.000
metagenome_recA_contig_1578_contig_1579	0.684	0.667	739	739	1.000
metagenome_recA_contig_9898_contig_9899	1.330	1.000	916	916	1.000
metagenome_recA_contig_16566_contig_16567	2.222	3.000	424	424	1.000
metagenome_recA_contig_210_contig_211	2.778	3.000	901	901	1.000
metagenome_recA_contig_41204_contig_41205	1.460	1.000	439	439	1.000
metagenome_recA_contig_4652_contig_4653	1.063	1.000	604	604	1.000
metagenome_recA_contig_34_contig_35	3.996	4.000	931	931	1.000
metagenome_recA_contig_20680_contig_20681	1.303	1.000	433	433	1.000
metagenome_recA_contig_7026_contig_7027	2.443	2.500	517	517	1.000
metagenome_recA_contig_2796_contig_2797	1.842	1.000	442	442	1.000
metagenome_recA_contig_1726_contig_1727	4.547	4.000	718	718	1.000
metagenome_recA_contig_3278_contig_3279	0.826	0.667	721	721	1.000
metagenome_recA_contig_212_contig_213	4.768	5.000	892	892	1.000
metagenome_recA_contig_2744_contig_2745	3.479	3.000	760	760	1.000
metagenome_recA_contig_17482_contig_17483	2.188	2.000	478	478	1.000
metagenome_recA_contig_14290_contig_14291	2.252	2.000	532	532	1.000
metagenome_recA_contig_7310_contig_7311	18.879	20.000	892	892	1.000
metagenome_recA_contig_500_contig_501	5.607	5.500	934	934	1.000
metagenome_recA_contig_56_contig_57	3.935	4.000	928	928	1.000
