#total reads: 67
#use mean_cov to adjust the contig abundance, not median_cov 
#seqid	mean_cov	median_cov	total_pos	covered_pos	covered_ratio
R2a198B_recA_contig_15468_contig_15469	1.411	1.000	685	685	1.000
R2a198B_recA_contig_15082_contig_15083	1.171	1.000	409	409	1.000
R2a198B_recA_contig_3656_contig_3657	0.421	0.333	670	670	1.000
R2a198B_recA_contig_18692_contig_18693	0.490	0.333	520	520	1.000
R2a198B_recA_contig_21204_contig_21205	0.539	0.333	649	649	1.000
R2a198B_recA_contig_7336_contig_7337	1.017	1.000	448	448	1.000
R2a198B_recA_contig_21940_contig_21941	1.188	1.000	409	409	1.000
R2a198B_recA_contig_7084_contig_7085	1.233	1.000	445	445	1.000
R2a198B_recA_contig_9022_contig_9023	1.164	1.000	424	424	1.000
R2a198B_recA_contig_9334_contig_9335	0.594	0.500	670	670	1.000
